,date,time_interval,open,high,low,close,volume
1,2023-01-06,20:00:00,88.05,88.1,88.0,88.1,4890
2,2023-01-06,19:00:00,88.053,88.08,88.03,88.04,1819
3,2023-01-06,18:00:00,88.0319,88.1,87.96,88.05,15554
4,2023-01-06,17:00:00,88.16,88.25,88.0,88.05,843680
5,2023-01-06,16:00:00,87.91,88.47,86.9,88.14,5041329
6,2023-01-06,15:00:00,87.2,87.93,87.16,87.9,2646267
7,2023-01-06,14:00:00,86.54,87.31,86.49,87.19,1868208
8,2023-01-06,13:00:00,87.02,87.225,86.36,86.53,2573050
9,2023-01-06,12:00:00,86.87,87.55,86.72,87.02,2706608
10,2023-01-06,11:00:00,85.92,86.95,85.83,86.85,4063328
11,2023-01-06,10:00:00,88.0899,88.0899,85.57,85.91,3264625
12,2023-01-06,09:00:00,86.6608,88.48,86.28,87.93,166163
13,2023-01-06,08:00:00,86.66,86.66,86.63,86.63,1561
14,2023-01-06,07:00:00,86.69,86.69,86.69,86.69,421
15,2023-01-06,06:00:00,86.71,86.89,86.71,86.76,3047
16,2023-01-06,05:00:00,87.09,87.09,86.66,86.69,4535
17,2023-01-05,20:00:00,86.88,86.95,86.81,86.91,10924
18,2023-01-05,19:00:00,86.83,86.98,86.83,86.89,3651
19,2023-01-05,18:00:00,86.83,86.84,86.77,86.78,3669
20,2023-01-05,17:00:00,86.77,86.88,86.71,86.88,433693
21,2023-01-05,16:00:00,87.42,87.42,86.56,86.78,3486855
22,2023-01-05,15:00:00,87.21,87.71,87.13,87.43,1864430
23,2023-01-05,14:00:00,87.01,87.65,86.735,87.19,2314262
24,2023-01-05,13:00:00,87.12,87.59,86.97,87.02,2079660
25,2023-01-05,12:00:00,87.11,87.5,86.79,87.115,3159965
26,2023-01-05,11:00:00,87.65,88.01,86.98,87.105,3317073
27,2023-01-05,10:00:00,88.12,88.21,87.19,87.66,3291955
28,2023-01-05,09:00:00,88.79,89.02,87.82,88.2,57158
29,2023-01-05,08:00:00,88.84,88.96,88.75,88.85,12882
30,2023-01-05,07:00:00,88.8,88.9,88.76,88.76,2693
31,2023-01-05,06:00:00,88.7,88.78,88.69,88.69,4124
32,2023-01-05,05:00:00,88.66,88.7,88.16,88.7,6746
33,2023-01-04,20:00:00,88.55,88.66,88.32,88.5,19468
34,2023-01-04,19:00:00,88.66,88.71,88.51,88.71,37583
35,2023-01-04,18:00:00,88.62,88.8,88.55,88.72,16345
36,2023-01-04,17:00:00,88.71,88.81,88.51,88.6,958918
37,2023-01-04,16:00:00,88.645,88.85,87.875,88.72,4927706
38,2023-01-04,15:00:00,88.785,89.28,87.95,88.64,2818572
39,2023-01-04,14:00:00,88.8981,89.13,88.55,88.77,2332393
40,2023-01-04,13:00:00,89.25,89.53,88.89,88.9,1809974
41,2023-01-04,12:00:00,88.58,89.46,88.11,89.245,3427652
42,2023-01-04,11:00:00,89.04,89.61,87.8,88.58,4321579
43,2023-01-04,10:00:00,90.79,91.24,88.98,89.05,3768636
44,2023-01-04,09:00:00,90.3301,91.06,90.0,90.79,77189
45,2023-01-04,08:00:00,90.5,90.65,89.88,90.24,40577
46,2023-01-04,07:00:00,90.5,90.82,90.5,90.75,12694
47,2023-01-04,06:00:00,90.73,90.95,90.27,90.4,11610
48,2023-01-04,05:00:00,90.25,90.99,90.2,90.95,10627
49,2023-01-03,20:00:00,89.8,89.85,89.6,89.6,9814
50,2023-01-03,19:00:00,89.6301,89.75,89.6301,89.7,1836
51,2023-01-03,18:00:00,89.7242,89.75,89.65,89.75,2688
52,2023-01-03,17:00:00,89.7,89.85,89.54,89.76,1446589
53,2023-01-03,16:00:00,89.955,90.235,89.47,89.69,3096248
54,2023-01-03,15:00:00,89.56,90.11,89.37,89.95,1665255
55,2023-01-03,14:00:00,89.27,89.63,89.11,89.5553,1244402
56,2023-01-03,13:00:00,89.24,89.48,89.02,89.255,1391940
57,2023-01-03,12:00:00,89.96,90.034,89.17,89.25,1858880
58,2023-01-03,11:00:00,90.05,90.22,89.11,89.96,2585686
59,2023-01-03,10:00:00,89.8,91.55,89.5,90.04,4567049
60,2023-01-03,09:00:00,89.1881,90.0,89.1881,89.89,63388
61,2023-01-03,08:00:00,89.34,89.71,89.34,89.5,22754
62,2023-01-03,07:00:00,89.91,89.91,89.22,89.42,4341
63,2023-01-03,06:00:00,90.2,90.2,89.8,90.05,5510
64,2023-01-03,05:00:00,89.0,90.2,89.0,90.19,13527
65,2022-12-30,20:00:00,88.91,89.0,88.85,89.0,6818
66,2022-12-30,19:00:00,88.88,88.92,88.85,88.92,3060
67,2022-12-30,18:00:00,88.93,88.99,88.82,88.83,8140
68,2022-12-30,17:00:00,88.73,89.14,88.73,89.0,1054629
69,2022-12-30,16:00:00,87.68,88.83,87.675,88.76,4159392
70,2022-12-30,15:00:00,87.65,87.82,87.44,87.685,1398302
71,2022-12-30,14:00:00,87.96,87.96,87.2071,87.65,1395473
72,2022-12-30,13:00:00,87.83,87.99,87.62,87.97,1143315
73,2022-12-30,12:00:00,87.71,88.03,87.63,87.842,1969401
74,2022-12-30,11:00:00,87.43,87.97,87.2,87.71,2162757
75,2022-12-30,10:00:00,87.8,87.86,87.03,87.44,2679899
76,2022-12-30,09:00:00,88.22,88.3553,87.65,87.8,47924
77,2022-12-30,08:00:00,88.35,88.35,87.9,87.9,17183
78,2022-12-30,07:00:00,88.45,88.5,88.45,88.5,1258
79,2022-12-30,06:00:00,88.3,88.5,88.3,88.5,1670
80,2022-12-30,05:00:00,87.9,88.35,87.9,88.35,5428
81,2022-12-29,20:00:00,88.54,88.58,88.48,88.52,12142
82,2022-12-29,19:00:00,88.83,88.89,88.5599,88.5599,5897
83,2022-12-29,18:00:00,88.88,88.98,88.7999,88.85,8776
84,2022-12-29,17:00:00,88.95,89.0,88.8,88.83,789844
85,2022-12-29,16:00:00,89.079,89.365,88.865,88.92,3565623
86,2022-12-29,15:00:00,89.04,89.29,89.005,89.08,1766834
87,2022-12-29,14:00:00,88.8,89.075,88.69,89.06,1526422
88,2022-12-29,13:00:00,89.01,89.21,88.74,88.81,1521395
89,2022-12-29,12:00:00,88.69,89.11,88.41,89.01,1887371
90,2022-12-29,11:00:00,87.98,88.74,87.77,88.685,2258754
91,2022-12-29,10:00:00,87.3,88.07,86.73,87.96,2378093
92,2022-12-29,09:00:00,87.0,87.4,86.83,87.4,45517
93,2022-12-29,08:00:00,87.1,87.1,86.85,86.88,5145
94,2022-12-29,07:00:00,87.34,87.34,87.0,87.0,3172
95,2022-12-29,06:00:00,86.89,87.28,86.78,87.18,13623
96,2022-12-29,05:00:00,86.81,86.87,86.77,86.87,4964
97,2022-12-28,20:00:00,86.65,86.65,86.46,86.6,7627
98,2022-12-28,19:00:00,86.5,86.59,86.45,86.53,4782
99,2022-12-28,18:00:00,86.46,86.6,86.43,86.5,72295
100,2022-12-28,17:00:00,86.46,86.56,86.37,86.47,666337
101,2022-12-28,16:00:00,86.59,86.73,86.3701,86.43,3240306
102,2022-12-28,15:00:00,86.93,87.05,86.56,86.59,1513532
103,2022-12-28,14:00:00,87.26,87.5778,86.9,86.925,1602914
104,2022-12-28,13:00:00,86.67,87.31,86.615,87.25,1821749
105,2022-12-28,12:00:00,86.81,86.97,86.645,86.675,2119678
106,2022-12-28,11:00:00,87.74,88.13,86.8,86.8142,3034120
107,2022-12-28,10:00:00,87.8878,88.52,87.31,87.745,2185773
108,2022-12-28,09:00:00,87.9003,88.2,87.78,87.81,25818
109,2022-12-28,08:00:00,87.94,88.09,87.9,88.09,10159
110,2022-12-28,07:00:00,88.02,88.1,87.65,87.9,11108
111,2022-12-28,06:00:00,88.11,88.11,87.93,87.93,705
112,2022-12-28,05:00:00,88.03,88.12,87.7,87.93,12777
113,2022-12-27,20:00:00,87.9,87.93,87.75,87.75,8751
114,2022-12-27,19:00:00,87.78,87.98,87.76,87.81,5220
115,2022-12-27,18:00:00,87.78,87.93,87.66,87.8,18238
116,2022-12-27,17:00:00,87.93,88.1,87.75,87.82,297620
117,2022-12-27,16:00:00,87.81,88.17,87.7,87.96,2913403
118,2022-12-27,15:00:00,87.72,87.92,87.535,87.8,1711324
119,2022-12-27,14:00:00,88.1,88.24,87.68,87.7242,1258935
120,2022-12-27,13:00:00,88.28,88.52,87.9,88.1,1315116
121,2022-12-27,12:00:00,88.66,88.76,88.16,88.275,2008253
122,2022-12-27,11:00:00,88.09,88.99,87.79,88.6675,2138102
123,2022-12-27,10:00:00,89.57,89.79,88.01,88.1,1997364
124,2022-12-27,09:00:00,90.2299,90.3,89.4,89.49,41976
125,2022-12-27,08:00:00,90.35,90.35,89.91,89.91,13072
126,2022-12-27,07:00:00,90.4,90.46,90.32,90.33,9100
127,2022-12-27,06:00:00,90.4,90.49,90.4,90.4,4103
128,2022-12-27,05:00:00,90.18,90.4,90.08,90.4,8259
129,2022-12-23,20:00:00,89.65,89.74,89.6001,89.62,1361
130,2022-12-23,19:00:00,89.7,89.74,89.63,89.74,2926
131,2022-12-23,18:00:00,89.64,89.74,89.61,89.6501,8670
132,2022-12-23,17:00:00,89.81,89.81,89.6,89.61,491128
133,2022-12-23,16:00:00,89.975,90.065,89.54,89.82,2418543
134,2022-12-23,15:00:00,89.72,90.0,89.52,89.98,1128920
135,2022-12-23,14:00:00,89.68,90.1,89.58,89.7304,1321692
136,2022-12-23,13:00:00,89.67,90.005,89.5,89.68,1495057
137,2022-12-23,12:00:00,89.3,89.71,88.71,89.65,2826244
138,2022-12-23,11:00:00,88.25,90.02,87.99,89.29,4066542
139,2022-12-23,10:00:00,88.13,88.98,87.4,88.22,2456466
140,2022-12-23,09:00:00,88.412,89.2984,87.53,88.13,99804
141,2022-12-23,08:00:00,88.42,88.77,88.33,88.77,15617
142,2022-12-23,07:00:00,88.56,88.56,88.55,88.55,1813
143,2022-12-23,06:00:00,88.26,88.57,88.16,88.53,3976
144,2022-12-23,05:00:00,88.33,88.44,88.16,88.3,7775
145,2022-12-22,20:00:00,88.28,88.28,88.0499,88.13,9133
146,2022-12-22,19:00:00,88.22,88.3,88.01,88.25,4432
147,2022-12-22,18:00:00,88.17,88.26,88.1,88.22,29769
148,2022-12-22,17:00:00,88.26,88.63,87.79,88.15,869279
149,2022-12-22,16:00:00,87.775,88.32,87.63,88.3,5541735
150,2022-12-22,15:00:00,87.09,87.8401,87.065,87.78,2235229
151,2022-12-22,14:00:00,87.37,87.37,86.9401,87.085,1819728
152,2022-12-22,13:00:00,87.95,88.01,87.31,87.37,1763910
153,2022-12-22,12:00:00,87.82,88.24,87.7,87.96,2014859
154,2022-12-22,11:00:00,88.84,88.84,87.725,87.82,3656813
155,2022-12-22,10:00:00,89.19,89.3999,88.17,88.84,2336953
156,2022-12-22,09:00:00,90.0,90.2513,89.17,89.17,44607
157,2022-12-22,08:00:00,90.31,90.34,90.0,90.15,8983
158,2022-12-22,07:00:00,90.26,90.26,90.26,90.26,799
159,2022-12-22,06:00:00,90.33,90.5,90.3,90.43,3834
160,2022-12-22,05:00:00,90.45,90.62,90.45,90.55,2447
161,2022-12-21,20:00:00,90.45,90.5,90.33,90.5,6151
162,2022-12-21,19:00:00,90.44,90.5,90.34,90.46,8555
163,2022-12-21,18:00:00,90.32,90.45,90.3199,90.45,7502
164,2022-12-21,17:00:00,90.25,90.42,90.25,90.34,1399696
165,2022-12-21,16:00:00,90.61,90.75,90.04,90.28,3131310
166,2022-12-21,15:00:00,90.54,90.915,90.505,90.61,1557576
167,2022-12-21,14:00:00,90.59,90.75,90.29,90.53,1525664
168,2022-12-21,13:00:00,90.31,90.615,90.06,90.59,1443575
169,2022-12-21,12:00:00,90.2541,90.67,90.038,90.3025,2205936
170,2022-12-21,11:00:00,89.07,90.35,88.99,90.26,3093696
171,2022-12-21,10:00:00,89.97,90.01,88.91,89.06,2837967
172,2022-12-21,09:00:00,89.75,90.16,89.3103,89.97,45820
173,2022-12-21,08:00:00,89.94,89.94,89.48,89.74,10494
174,2022-12-21,07:00:00,89.83,89.88,89.7,89.77,5511
175,2022-12-21,06:00:00,90.13,90.13,89.8,89.8,8052
176,2022-12-21,05:00:00,90.16,90.34,90.16,90.19,2188
177,2022-12-20,20:00:00,90.19,90.35,90.0,90.35,14905
178,2022-12-20,19:00:00,89.85,90.2,89.85,90.05,24064
179,2022-12-20,18:00:00,89.69,89.8,89.63,89.75,377339
180,2022-12-20,17:00:00,89.63,89.78,89.56,89.69,772443
181,2022-12-20,16:00:00,89.39,89.73,89.14,89.62,2884441
182,2022-12-20,15:00:00,89.39,89.78,89.265,89.39,1815936
183,2022-12-20,14:00:00,89.38,89.65,89.07,89.39,1442605
184,2022-12-20,13:00:00,89.03,89.37,88.85,89.37,1699317
185,2022-12-20,12:00:00,89.21,89.44,88.44,89.025,3423513
186,2022-12-20,11:00:00,89.0,89.55,88.64,89.21,3365875
187,2022-12-20,10:00:00,88.65,89.15,88.04,88.995,2511779
188,2022-12-20,09:00:00,88.9767,89.04,88.55,88.72,21642
189,2022-12-20,08:00:00,89.0,89.01,88.51,88.51,15288
190,2022-12-20,07:00:00,89.05,89.05,88.88,88.88,2118
191,2022-12-20,06:00:00,88.79,88.79,88.6,88.72,3843
192,2022-12-20,05:00:00,88.9,88.98,88.63,88.78,7566
193,2022-12-19,20:00:00,89.39,89.4499,89.23,89.2999,5345
194,2022-12-19,19:00:00,89.05,89.47,89.0,89.32,11597
195,2022-12-19,18:00:00,89.02,89.14,88.91,89.01,12084
196,2022-12-19,17:00:00,89.16,89.24,89.02,89.02,1423909
197,2022-12-19,16:00:00,89.37,89.38,88.925,89.14,3968656
198,2022-12-19,15:00:00,89.54,89.57,89.165,89.37,1827908
199,2022-12-19,14:00:00,89.665,91.2,89.53,89.55,2544432
200,2022-12-19,13:00:00,89.855,89.98,89.55,89.68,1623431
