,time,open,high,low,close,volume
1,2023-01-05 19:59:00,310.2500,310.2500,310.2500,310.2500,485
2,2023-01-05 19:56:00,310.2200,310.2200,310.2200,310.2200,229
3,2023-01-05 19:44:00,310.4000,310.4000,310.4000,310.4000,101
4,2023-01-05 19:31:00,309.9700,310.1100,309.9700,310.1100,613
5,2023-01-05 19:17:00,309.8900,309.8900,309.8900,309.8900,205
6,2023-01-05 19:16:00,309.8900,309.8900,309.8900,309.8900,103
7,2023-01-05 18:13:00,309.4700,309.4700,309.4700,309.4700,500
8,2023-01-05 17:54:00,309.5300,309.5300,309.5000,309.5000,1404
9,2023-01-05 17:13:00,309.3800,309.3800,309.3800,309.3800,203
10,2023-01-05 17:10:00,309.5000,309.5000,309.5000,309.5000,171
11,2023-01-05 17:07:00,309.5000,309.5000,309.5000,309.5000,403
12,2023-01-05 16:57:00,309.4183,309.4183,309.4183,309.4183,638
13,2023-01-05 16:54:00,309.9100,309.9100,309.6400,309.6400,995
14,2023-01-05 16:41:00,310.0000,310.0000,310.0000,310.0000,354
15,2023-01-05 16:34:00,310.4114,310.4114,310.4114,310.4114,352
16,2023-01-05 16:33:00,310.0000,310.0000,310.0000,310.0000,440
17,2023-01-05 16:32:00,309.8500,309.8500,309.8500,309.8500,512
18,2023-01-05 16:26:00,309.8100,310.0000,309.8100,310.0000,601
19,2023-01-05 16:16:00,309.6000,309.6000,309.6000,309.6000,124
20,2023-01-05 16:13:00,309.7000,309.7000,309.7000,309.7000,596
21,2023-01-05 16:02:00,309.7000,309.7000,309.7000,309.7000,3335
22,2023-01-05 16:01:00,309.7000,309.7000,309.7000,309.7000,43411
23,2023-01-05 16:00:00,309.7800,309.8100,309.5800,309.6500,78666
24,2023-01-05 15:59:00,309.7650,309.8600,309.6100,309.7800,37769
25,2023-01-05 15:58:00,309.7000,309.8400,309.6400,309.7550,32573
26,2023-01-05 15:57:00,309.6800,309.7600,309.4600,309.6700,35766
27,2023-01-05 15:56:00,309.3000,309.9100,309.2400,309.6900,48661
28,2023-01-05 15:55:00,309.0500,309.4000,309.0400,309.2250,46440
29,2023-01-05 15:54:00,309.1150,309.3099,308.9900,309.0700,35862
30,2023-01-05 15:53:00,309.4700,309.4700,309.0200,309.0201,22115
31,2023-01-05 15:52:00,308.9389,309.4799,308.9389,309.4000,27933
32,2023-01-05 15:51:00,309.3600,309.3600,308.8800,308.9400,50445
33,2023-01-05 15:50:00,309.2800,309.4799,309.2800,309.4200,9721
34,2023-01-05 15:49:00,309.5700,309.6230,309.2700,309.2700,15486
35,2023-01-05 15:48:00,309.7150,309.7150,309.3100,309.6000,20088
36,2023-01-05 15:47:00,309.9000,310.1600,309.6900,309.7150,26869
37,2023-01-05 15:46:00,309.8000,310.0400,309.8000,309.9300,26184
38,2023-01-05 15:45:00,309.5200,309.7800,309.4700,309.7500,27458
39,2023-01-05 15:44:00,309.8190,309.8750,309.5200,309.5450,16686
40,2023-01-05 15:43:00,310.0300,310.1800,309.8000,309.8650,23434
41,2023-01-05 15:42:00,310.2200,310.4999,310.0700,310.0700,19458
42,2023-01-05 15:41:00,310.5750,310.5750,310.1401,310.2600,15115
43,2023-01-05 15:40:00,310.5300,310.6400,310.4600,310.5987,9566
44,2023-01-05 15:39:00,310.5100,310.6899,310.4500,310.5700,14284
45,2023-01-05 15:38:00,310.9600,310.9600,310.5001,310.5550,15478
46,2023-01-05 15:37:00,310.9500,311.0900,310.9000,310.9000,13776
47,2023-01-05 15:36:00,310.6110,310.9900,310.5100,310.9500,29616
48,2023-01-05 15:35:00,310.6350,310.8700,310.6100,310.6500,11647
49,2023-01-05 15:34:00,310.3100,310.6600,310.2100,310.6600,23650
50,2023-01-05 15:33:00,310.2500,310.3100,310.1600,310.3000,7757
