,date,time_interval,open,high,low,close,volume
1,2022-12-08,20:00:00,93.93,93.95,93.81,93.9499,10241
2,2022-12-08,19:00:00,93.94,94.09,93.94,94.0,6988
3,2022-12-08,18:00:00,93.9399,93.9896,93.9,93.91,12940
4,2022-12-08,17:00:00,93.95,94.14,93.77,93.94,1779002
5,2022-12-08,16:00:00,94.365,94.66,93.8,93.98,5159001
6,2022-12-08,15:00:00,94.68,94.68,94.135,94.365,2386767
7,2022-12-08,14:00:00,94.98,95.17,94.56,94.6819,2178388
8,2022-12-08,13:00:00,94.44,94.99,94.165,94.97,1996352
9,2022-12-08,12:00:00,94.31,94.66,93.82,94.45,3216158
10,2022-12-08,11:00:00,94.93,95.33,94.14,94.31,3734945
11,2022-12-08,10:00:00,95.66,95.87,94.09,94.93,2941660
12,2022-12-08,09:00:00,95.6344,95.96,95.3,95.68,73949
13,2022-12-08,08:00:00,95.3,95.62,95.3,95.62,8834
14,2022-12-08,07:00:00,95.54,95.69,95.29,95.3,6736
15,2022-12-08,06:00:00,95.43,95.69,95.43,95.48,3576
16,2022-12-08,05:00:00,95.44,95.5,95.31,95.46,4831
17,2022-12-07,20:00:00,95.22,95.22,95.0,95.06,8898
18,2022-12-07,19:00:00,95.25,95.3,95.18,95.3,2077
19,2022-12-07,18:00:00,95.14,95.3299,95.09,95.3099,19379
20,2022-12-07,17:00:00,95.15,95.3,94.97,95.14,1826550
21,2022-12-07,16:00:00,95.245,95.51,95.025,95.19,4256546
22,2022-12-07,15:00:00,95.68,95.72,95.14,95.25,2409190
23,2022-12-07,14:00:00,95.88,96.3,95.67,95.685,2077515
24,2022-12-07,13:00:00,95.75,95.94,95.18,95.875,2438838
25,2022-12-07,12:00:00,96.18,96.53,95.49,95.75,2463136
26,2022-12-07,11:00:00,96.31,96.75,95.35,96.185,4437624
27,2022-12-07,10:00:00,96.93,97.31,96.08,96.31,2169299
28,2022-12-07,09:00:00,96.91,97.13,96.3302,96.9,37665
29,2022-12-07,08:00:00,96.81,96.82,96.33,96.4,10701
30,2022-12-07,07:00:00,97.28,97.28,97.1,97.1,2730
31,2022-12-07,06:00:00,97.16,97.16,97.15,97.15,500
32,2022-12-07,05:00:00,97.25,97.45,97.11,97.12,5598
33,2022-12-06,20:00:00,97.36,97.46,97.36,97.4499,5594
34,2022-12-06,19:00:00,97.38,97.46,97.33,97.4,5944
35,2022-12-06,18:00:00,97.31,97.41,97.31,97.38,3340
36,2022-12-06,17:00:00,97.31,97.47,97.06,97.31,1119212
37,2022-12-06,16:00:00,97.22,97.48,96.7604,97.34,3321670
38,2022-12-06,15:00:00,97.5,97.52,96.98,97.21,1851585
39,2022-12-06,14:00:00,97.94,98.1001,97.37,97.495,1677132
40,2022-12-06,13:00:00,97.47,98.23,97.41,97.9416,1825153
41,2022-12-06,12:00:00,97.735,97.8592,97.33,97.48,2567462
42,2022-12-06,11:00:00,98.68,98.78,97.7,97.74,3098106
43,2022-12-06,10:00:00,99.81,100.21,98.67,98.67,2379382
44,2022-12-06,09:00:00,100.04,100.12,99.5015,99.894,29483
45,2022-12-06,08:00:00,99.99,100.13,99.99,99.99,8452
46,2022-12-06,07:00:00,99.9,99.9,99.9,99.9,251
47,2022-12-06,06:00:00,99.83,99.83,99.7,99.83,1977
48,2022-12-06,05:00:00,99.7,100.18,99.64,99.9,2796
49,2022-12-05,20:00:00,99.86,99.99,99.86,99.99,6060
50,2022-12-05,19:00:00,99.87,99.92,99.85,99.88,31342
51,2022-12-05,18:00:00,99.91,99.91,99.81,99.87,47778
52,2022-12-05,17:00:00,99.87,100.06,99.64,99.92,730821
53,2022-12-05,16:00:00,99.865,99.96,99.355,99.86,3642807
54,2022-12-05,15:00:00,99.8,100.09,99.63,99.865,1719247
55,2022-12-05,14:00:00,100.4,100.69,99.79,99.81,1546368
56,2022-12-05,13:00:00,100.65,100.78,100.22,100.4,1403608
57,2022-12-05,12:00:00,101.41,101.72,100.4,100.65,2386747
58,2022-12-05,11:00:00,101.27,101.5199,100.29,101.4,2514168
59,2022-12-05,10:00:00,99.78,101.7499,99.51,101.29,3044806
60,2022-12-05,09:00:00,100.45,100.52,99.7,99.72,60815
61,2022-12-05,08:00:00,100.45,100.68,100.03,100.04,20709
62,2022-12-05,07:00:00,100.39,100.4,100.39,100.4,1310
63,2022-12-05,06:00:00,100.25,100.25,100.19,100.19,1227
64,2022-12-05,05:00:00,100.6,100.83,100.14,100.14,1916
65,2022-12-02,20:00:00,100.57,100.63,100.43,100.63,6448
66,2022-12-02,19:00:00,100.56,100.6,100.41,100.55,1626
67,2022-12-02,18:00:00,100.53,100.63,100.52,100.52,3020
68,2022-12-02,17:00:00,100.83,100.83,100.4,100.6,1758213
69,2022-12-02,16:00:00,100.7,101.15,100.49,100.86,2710317
70,2022-12-02,15:00:00,100.19,100.73,100.054,100.69,1225851
71,2022-12-02,14:00:00,100.415,100.48,100.07,100.1977,2205012
72,2022-12-02,13:00:00,100.24,100.62,100.0922,100.42,1188578
73,2022-12-02,12:00:00,99.85,100.49,99.57,100.23,1866126
74,2022-12-02,11:00:00,99.83,100.54,99.48,99.86,3023295
75,2022-12-02,10:00:00,99.08,100.44,98.58,99.83,2720891
76,2022-12-02,09:00:00,100.9063,101.35,97.6,99.16,211039
77,2022-12-02,08:00:00,100.92,101.18,100.86,101.18,21286
78,2022-12-02,07:00:00,101.28,101.28,100.98,101.0,44764
79,2022-12-02,06:00:00,101.28,101.29,101.28,101.28,1290
80,2022-12-02,05:00:00,101.2,101.2,101.2,101.2,226
81,2022-12-01,20:00:00,101.03,101.03,100.75,100.75,19887
82,2022-12-01,19:00:00,101.09,101.09,101.0,101.06,1287
83,2022-12-01,18:00:00,101.04,101.25,101.0,101.04,10398
84,2022-12-01,17:00:00,101.28,101.28,101.08,101.09,2235895
85,2022-12-01,16:00:00,101.66,101.85,101.2,101.28,3341046
86,2022-12-01,15:00:00,101.46,101.71,101.3102,101.66,1480999
87,2022-12-01,14:00:00,101.705,101.88,101.16,101.47,1475395
88,2022-12-01,13:00:00,101.51,101.7899,101.02,101.69,1561247
89,2022-12-01,12:00:00,101.925,101.955,101.13,101.5,2052959
90,2022-12-01,11:00:00,102.26,102.52,100.67,101.92,3258929
91,2022-12-01,10:00:00,101.3832,102.59,100.94,102.26,3169720
92,2022-12-01,09:00:00,101.2894,102.04,100.9579,101.37,90370
93,2022-12-01,08:00:00,101.2,101.32,101.1,101.32,13528
94,2022-12-01,07:00:00,100.99,101.13,100.97,101.13,4748
95,2022-12-01,06:00:00,100.99,101.03,100.74,100.74,8141
96,2022-12-01,05:00:00,101.4,101.4,100.76,100.9,21103
97,2022-11-30,20:00:00,101.6,101.67,101.35,101.5,40050
98,2022-11-30,19:00:00,101.54,101.7,101.45,101.6,11953
99,2022-11-30,18:00:00,101.66,101.71,101.45,101.55,143279
100,2022-11-30,17:00:00,101.45,101.76,100.75,101.67,5014927
101,2022-11-30,16:00:00,99.52,101.45,99.37,101.45,8393336
102,2022-11-30,15:00:00,98.545,100.19,98.51,99.52,5134250
103,2022-11-30,14:00:00,96.52,98.65,96.5,98.545,3634464
104,2022-11-30,13:00:00,96.27,96.61,96.05,96.51,1819777
105,2022-11-30,12:00:00,95.69,96.31,95.54,96.27,2013598
106,2022-11-30,11:00:00,96.1,96.29,95.52,95.69,2446954
107,2022-11-30,10:00:00,95.52,96.22,94.67,96.11,2449927
108,2022-11-30,09:00:00,95.9896,96.26,95.5,95.505,37982
109,2022-11-30,08:00:00,95.81,95.97,95.81,95.9,6201
110,2022-11-30,07:00:00,95.8,95.8,95.8,95.8,160
111,2022-11-30,06:00:00,95.78,95.79,95.78,95.79,685
112,2022-11-30,05:00:00,95.74,95.75,95.74,95.75,1095
113,2022-11-29,20:00:00,95.34,95.5199,95.29,95.5,2340
114,2022-11-29,19:00:00,95.4,95.4,95.25,95.25,3756
115,2022-11-29,18:00:00,95.47,95.5,95.41,95.41,64739
116,2022-11-29,17:00:00,95.44,95.63,95.3,95.5,2093677
117,2022-11-29,16:00:00,95.31,95.71,95.23,95.42,2937557
118,2022-11-29,15:00:00,95.2,95.525,94.99,95.31,1976504
119,2022-11-29,14:00:00,95.705,95.705,95.01,95.2,1965395
120,2022-11-29,13:00:00,95.29,95.92,95.25,95.7089,1765891
121,2022-11-29,12:00:00,95.59,95.61,94.39,95.29,2698443
122,2022-11-29,11:00:00,95.59,96.04,95.26,95.58,2841468
123,2022-11-29,10:00:00,96.45,96.54,95.505,95.57,2015772
124,2022-11-29,09:00:00,96.6561,96.76,96.25,96.3,19712
125,2022-11-29,08:00:00,96.61,96.75,96.61,96.75,3413
126,2022-11-29,06:00:00,96.72,96.72,96.63,96.63,415
127,2022-11-29,05:00:00,96.62,96.78,96.57,96.65,1955
128,2022-11-28,20:00:00,96.4,96.55,96.38,96.5,5026
129,2022-11-28,19:00:00,96.3,96.38,96.3,96.38,605
130,2022-11-28,18:00:00,96.41,96.41,96.25,96.3,109353
131,2022-11-28,17:00:00,96.25,96.44,96.12,96.42,384182
132,2022-11-28,16:00:00,96.325,96.41,95.9,96.25,3534104
133,2022-11-28,15:00:00,96.22,96.37,95.89,96.32,1544875
134,2022-11-28,14:00:00,96.42,96.585,96.17,96.22,1391342
135,2022-11-28,13:00:00,96.705,96.92,96.29,96.425,1765419
136,2022-11-28,12:00:00,96.212,97.3,96.15,96.705,1765257
137,2022-11-28,11:00:00,97.06,97.311,96.205,96.21,2854491
138,2022-11-28,10:00:00,97.35,97.83,96.75,97.065,2625685
139,2022-11-28,09:00:00,97.02,97.47,96.9215,97.37,47650
140,2022-11-28,08:00:00,96.99,97.34,96.99,97.05,10361
141,2022-11-28,07:00:00,96.92,97.1,96.85,96.85,4072
142,2022-11-28,06:00:00,96.82,97.09,96.82,97.0,2243
143,2022-11-28,05:00:00,99.0,99.0,96.93,96.99,5685
144,2022-11-25,17:00:00,97.6,97.65,97.55,97.5501,14264
145,2022-11-25,14:00:00,97.6,97.6,97.6,97.6,1054152
146,2022-11-25,13:00:00,97.785,97.83,97.53,97.61,2423200
147,2022-11-25,12:00:00,98.21,98.26,97.63,97.78,1435247
148,2022-11-25,11:00:00,98.16,98.32,97.95,98.22,1620133
149,2022-11-25,10:00:00,98.5498,98.94,98.07,98.17,1426779
150,2022-11-25,09:00:00,98.73,98.92,98.5,98.57,20456
151,2022-11-25,08:00:00,98.8,98.9,98.0,98.7,18923
152,2022-11-25,07:00:00,98.86,98.93,98.72,98.72,1783
153,2022-11-25,06:00:00,98.86,98.93,98.86,98.93,928
154,2022-11-25,05:00:00,99.1,99.23,98.76,98.76,4837
155,2022-11-23,20:00:00,99.0,99.1,98.93,99.07,3725
156,2022-11-23,19:00:00,98.88,99.0,98.88,98.93,3311
157,2022-11-23,18:00:00,98.8207,98.9623,98.81,98.82,133238
158,2022-11-23,17:00:00,98.82,98.9599,98.64,98.8,636205
159,2022-11-23,16:00:00,98.845,99.0685,98.58,98.85,2803594
160,2022-11-23,15:00:00,98.07,98.92,97.78,98.85,2070695
161,2022-11-23,14:00:00,97.615,98.21,97.495,98.0301,1533534
162,2022-11-23,13:00:00,97.87,98.29,97.5,97.61,1488852
163,2022-11-23,12:00:00,98.49,98.7384,97.64,97.8717,2018528
164,2022-11-23,11:00:00,97.88,98.56,97.6003,98.4906,2273754
165,2022-11-23,10:00:00,97.44,98.35,97.15,97.88,2531240
166,2022-11-23,09:00:00,97.43,97.7399,97.36,97.44,37349
167,2022-11-23,08:00:00,97.49,97.74,97.49,97.71,4479
168,2022-11-23,07:00:00,97.38,97.38,97.38,97.38,1355
169,2022-11-23,06:00:00,97.33,97.4,97.33,97.4,1050
170,2022-11-23,05:00:00,97.46,97.52,97.33,97.52,3696
171,2022-11-22,20:00:00,97.2,97.3699,97.14,97.23,19772
172,2022-11-22,19:00:00,97.17,97.28,97.09,97.11,10523
173,2022-11-22,18:00:00,97.15,97.18,97.14,97.14,4514
174,2022-11-22,17:00:00,97.33,97.42,97.1,97.14,1106785
175,2022-11-22,16:00:00,97.26,97.5475,97.15,97.33,2804773
176,2022-11-22,15:00:00,97.37,97.47,97.02,97.27,1568292
177,2022-11-22,14:00:00,96.46,97.4,96.46,97.365,1708157
178,2022-11-22,13:00:00,95.715,96.49,95.715,96.46,1364388
179,2022-11-22,12:00:00,96.04,96.06,95.43,95.72,1785725
180,2022-11-22,11:00:00,94.48,96.115,94.41,96.03,3050124
181,2022-11-22,10:00:00,96.3,96.44,94.45,94.485,2498034
182,2022-11-22,09:00:00,96.12,96.38,95.9,96.34,44622
183,2022-11-22,08:00:00,95.93,96.1,95.93,96.03,5034
184,2022-11-22,07:00:00,95.96,95.96,95.79,95.79,2045
185,2022-11-22,06:00:00,96.14,96.14,96.09,96.13,690
186,2022-11-22,05:00:00,95.67,96.24,95.58,96.24,6290
187,2022-11-21,20:00:00,95.92,96.27,95.92,96.14,14732
188,2022-11-21,19:00:00,95.8,95.9199,95.76,95.76,3002
189,2022-11-21,18:00:00,95.89,95.9,95.69,95.75,4575
190,2022-11-21,17:00:00,95.83,96.0,95.8,95.87,605998
191,2022-11-21,16:00:00,95.93,96.165,95.67,95.83,4302084
192,2022-11-21,15:00:00,96.35,96.475,95.88,95.94,1759929
193,2022-11-21,14:00:00,96.25,96.74,96.18,96.355,1644928
194,2022-11-21,13:00:00,96.78,96.94,96.19,96.25,1893213
195,2022-11-21,12:00:00,97.24,97.335,96.67,96.7817,1632249
196,2022-11-21,11:00:00,98.2,98.3181,97.1,97.25,2434178
197,2022-11-21,10:00:00,97.12,98.72,96.98,98.17,2295525
198,2022-11-21,09:00:00,96.78,97.1299,96.64,97.1299,39089
199,2022-11-21,08:00:00,96.86,96.86,96.64,96.73,7777
200,2022-11-21,07:00:00,96.9,96.9,96.62,96.62,2859
201,2022-11-21,06:00:00,97.06,97.08,96.94,97.02,3014
202,2022-11-21,05:00:00,97.1,97.35,96.99,97.18,4048
203,2022-11-18,20:00:00,97.64,97.64,97.52,97.57,4022
204,2022-11-18,19:00:00,97.66,97.66,97.55,97.61,3003
205,2022-11-18,18:00:00,97.81,97.81,97.62,97.66,261362
206,2022-11-18,17:00:00,97.8,97.9,97.64,97.8,809728
207,2022-11-18,16:00:00,97.445,98.07,97.32,97.83,4749598
208,2022-11-18,15:00:00,97.02,97.49,96.92,97.45,2273190
209,2022-11-18,14:00:00,96.9699,97.305,96.9,97.025,1544848
210,2022-11-18,13:00:00,97.86,97.96,96.74,96.96,4033422
211,2022-11-18,12:00:00,98.04,98.2,97.55,97.855,1678791
212,2022-11-18,11:00:00,98.75,98.79,97.88,98.04,2795664
213,2022-11-18,10:00:00,99.05,99.29,97.51,98.73,3924583
214,2022-11-18,09:00:00,99.2798,99.34,98.97,99.05,72513
215,2022-11-18,08:00:00,98.94,99.34,98.84,99.19,29101
216,2022-11-18,07:00:00,99.07,99.07,98.96,98.96,1713
217,2022-11-18,06:00:00,98.8,98.95,98.68,98.95,2194
218,2022-11-18,05:00:00,98.61,98.9,98.52,98.9,3239
219,2022-11-17,20:00:00,98.45,98.5,98.4,98.45,4141
220,2022-11-17,19:00:00,98.69,98.73,98.45,98.45,5364
221,2022-11-17,18:00:00,98.59,98.75,98.5,98.66,53215
222,2022-11-17,17:00:00,98.5,98.8,98.16,98.64,1550429
223,2022-11-17,16:00:00,98.23,98.56,97.71,98.53,4914492
224,2022-11-17,15:00:00,99.065,99.14,98.17,98.24,1891138
225,2022-11-17,14:00:00,99.09,99.48,98.95,99.07,1650874
226,2022-11-17,13:00:00,98.89,99.18,98.62,99.08,2119907
227,2022-11-17,12:00:00,97.64,98.9073,97.64,98.88,2148566
228,2022-11-17,11:00:00,97.32,98.22,97.1,97.65,2629450
229,2022-11-17,10:00:00,97.24,98.15,96.75,97.33,2731173
230,2022-11-17,09:00:00,98.15,98.47,97.05,97.19,83453
231,2022-11-17,08:00:00,98.3,98.35,97.93,97.93,35131
232,2022-11-17,07:00:00,98.29,98.29,97.71,98.1,19520
233,2022-11-17,06:00:00,98.77,98.79,98.3,98.3,9431
234,2022-11-17,05:00:00,99.42,99.42,99.01,99.01,1863
235,2022-11-16,20:00:00,99.2,99.4,99.2,99.34,4246
236,2022-11-16,19:00:00,99.2,99.2,99.12,99.2,4315
237,2022-11-16,18:00:00,99.1,99.22,98.99,99.2,89717
238,2022-11-16,17:00:00,98.99,99.45,98.69,99.03,1006227
239,2022-11-16,16:00:00,99.48,99.52,98.88,99.03,4365118
240,2022-11-16,15:00:00,99.05,99.61,99.01,99.49,1805778
241,2022-11-16,14:00:00,99.59,99.83,99.04,99.05,1928840
242,2022-11-16,13:00:00,99.34,99.85,99.1,99.6,1972116
243,2022-11-16,12:00:00,98.5675,99.48,98.559,99.35,2619117
244,2022-11-16,11:00:00,98.78,99.16,98.15,98.57,3612704
245,2022-11-16,10:00:00,97.8,98.96,97.7,98.78,4249425
246,2022-11-16,09:00:00,98.5,98.5967,97.75,97.81,71686
247,2022-11-16,08:00:00,98.41,98.47,98.31,98.4,5944
248,2022-11-16,07:00:00,98.48,98.7,98.16,98.56,3273
249,2022-11-16,06:00:00,98.75,98.95,98.56,98.56,7452
250,2022-11-16,05:00:00,98.72,98.78,98.57,98.74,2879
251,2022-11-15,20:00:00,98.54,98.55,98.0,98.08,13019
252,2022-11-15,19:00:00,98.32,98.45,98.25,98.35,4385
253,2022-11-15,18:00:00,98.55,98.72,98.42,98.49,83179
254,2022-11-15,17:00:00,98.72,98.83,98.3,98.59,780223
255,2022-11-15,16:00:00,98.5321,98.94,98.3,98.71,3739953
256,2022-11-15,15:00:00,97.89,98.65,97.3,98.546,3908982
257,2022-11-15,14:00:00,99.37,99.51,97.02,97.89,3781954
258,2022-11-15,13:00:00,99.96,100.05,99.12,99.37,3304779
259,2022-11-15,12:00:00,98.36,100.42,97.89,99.97,5926203
260,2022-11-15,11:00:00,98.425,98.97,98.28,98.37,3462173
261,2022-11-15,10:00:00,99.01,99.27,97.84,98.42,3442945
262,2022-11-15,09:00:00,97.15,99.44,97.07,99.0,250069
263,2022-11-15,08:00:00,97.13,97.62,97.07,97.56,20445
264,2022-11-15,07:00:00,97.2,97.3,97.09,97.1,2362
265,2022-11-15,06:00:00,97.07,97.33,97.04,97.24,11469
266,2022-11-15,05:00:00,96.75,97.14,96.75,97.07,7613
267,2022-11-14,20:00:00,96.13,96.18,96.0,96.06,4892
268,2022-11-14,19:00:00,96.22,96.41,96.09,96.09,8717
269,2022-11-14,18:00:00,96.16,96.3,96.1,96.3,10244
270,2022-11-14,17:00:00,96.03,96.32,95.73,96.21,1221228
271,2022-11-14,16:00:00,96.85,97.18,95.86,96.01,4517952
272,2022-11-14,15:00:00,96.88,97.085,96.63,96.84,1879428
273,2022-11-14,14:00:00,96.16,96.9,96.07,96.88,1763338
274,2022-11-14,13:00:00,95.845,96.335,95.6,96.16,2389694
275,2022-11-14,12:00:00,95.91,96.04,95.31,95.84,2649463
276,2022-11-14,11:00:00,95.85,96.23,95.62,95.93,3662485
277,2022-11-14,10:00:00,96.0,96.11,95.1125,95.84,3425138
278,2022-11-14,09:00:00,96.12,96.32,95.84,95.94,77024
279,2022-11-14,08:00:00,96.24,96.31,96.06,96.31,28517
280,2022-11-14,07:00:00,96.08,96.15,96.04,96.12,16099
281,2022-11-14,06:00:00,96.15,96.29,96.12,96.12,13224
282,2022-11-14,05:00:00,96.54,96.81,96.08,96.15,24600
283,2022-11-11,20:00:00,96.56,96.6,96.5,96.54,13783
284,2022-11-11,19:00:00,96.62,96.62,96.51,96.56,5354
285,2022-11-11,18:00:00,96.5899,96.73,96.5,96.62,11268
286,2022-11-11,17:00:00,96.73,96.85,96.47,96.73,1145315
287,2022-11-11,16:00:00,97.34,97.355,96.64,96.73,6104380
288,2022-11-11,15:00:00,97.05,97.36,96.77,97.33,2898189
289,2022-11-11,14:00:00,96.31,97.08,96.3,97.05,2907634
290,2022-11-11,13:00:00,96.1,96.5,95.775,96.317,1984324
291,2022-11-11,12:00:00,96.465,96.82,95.66,96.1,3568051
292,2022-11-11,11:00:00,95.48,96.55,94.76,96.465,4489392
293,2022-11-11,10:00:00,94.9708,95.79,94.1101,95.5,4239401
294,2022-11-11,09:00:00,94.686,95.03,94.5,95.0,133307
295,2022-11-11,08:00:00,94.8,94.81,94.5,94.66,31915
296,2022-11-11,07:00:00,94.74,94.93,94.74,94.81,4270
297,2022-11-11,06:00:00,94.99,95.12,94.75,94.86,6954
298,2022-11-11,05:00:00,94.7,95.71,94.7,94.95,23328
299,2022-11-10,20:00:00,94.5,94.52,94.1,94.21,18935
300,2022-11-10,19:00:00,94.37,94.55,94.25,94.55,16365
301,2022-11-10,18:00:00,94.4,94.64,94.36,94.37,32962
302,2022-11-10,17:00:00,94.13,94.54,93.92,94.4,2388827
303,2022-11-10,16:00:00,93.94,94.55,93.82,94.09,7876892
304,2022-11-10,15:00:00,93.635,94.0,93.53,93.94,2367281
305,2022-11-10,14:00:00,93.21,93.73,93.1328,93.64,2089182
306,2022-11-10,13:00:00,93.755,93.853,93.175,93.215,3015910
307,2022-11-10,12:00:00,93.47,93.8999,92.93,93.76,3499351
308,2022-11-10,11:00:00,93.88,94.16,92.65,93.49,6361206
309,2022-11-10,10:00:00,92.04,93.97,91.65,93.87,7662943
310,2022-11-10,09:00:00,87.73,92.18,87.7,92.08,653960
311,2022-11-10,08:00:00,87.78,87.97,87.75,87.97,10113
312,2022-11-10,07:00:00,87.52,87.73,87.51,87.73,1365
313,2022-11-10,06:00:00,87.57,87.58,87.35,87.5,2791
314,2022-11-10,05:00:00,87.71,87.71,87.5,87.6,1643
315,2022-11-09,20:00:00,87.34,87.89,87.34,87.67,13473
316,2022-11-09,19:00:00,87.33,87.42,87.25,87.34,10136
317,2022-11-09,18:00:00,87.42,87.46,87.3,87.39,41443
318,2022-11-09,17:00:00,87.4,87.62,87.33,87.37,2429652
319,2022-11-09,16:00:00,87.595,87.895,87.3599,87.4,5104096
320,2022-11-09,15:00:00,87.885,88.2569,87.52,87.6043,2083037
321,2022-11-09,14:00:00,88.88,88.995,87.67,87.89,2615708
322,2022-11-09,13:00:00,88.7,88.95,88.6,88.88,1730005
323,2022-11-09,12:00:00,88.48,89.14,88.46,88.695,2526573
324,2022-11-09,11:00:00,88.49,89.49,88.31,88.48,3590632
325,2022-11-09,10:00:00,88.46,89.33,88.2494,88.48,2511702
326,2022-11-09,09:00:00,88.95,89.17,88.2,88.42,149489
327,2022-11-09,08:00:00,89.0,89.11,88.7,89.07,21731
328,2022-11-09,07:00:00,88.63,89.22,88.63,88.89,25704
329,2022-11-09,06:00:00,88.4,88.69,88.37,88.65,7043
330,2022-11-09,05:00:00,89.12,89.12,88.47,88.64,7131
