,time,open,high,low,close,volume
1,2023-01-05 20:00:00,127.0500,127.2000,127.0500,127.2000,729
2,2023-01-05 19:59:00,127.0400,127.0400,127.0400,127.0400,324
3,2023-01-05 19:58:00,126.9700,126.9700,126.9700,126.9700,279
4,2023-01-05 19:57:00,127.0000,127.0000,127.0000,127.0000,268
5,2023-01-05 19:55:00,127.0000,127.0000,127.0000,127.0000,762
6,2023-01-05 19:54:00,126.9500,126.9700,126.9500,126.9700,318
7,2023-01-05 19:53:00,126.9100,126.9100,126.9100,126.9100,372
8,2023-01-05 19:52:00,126.9100,126.9100,126.9100,126.9100,203
9,2023-01-05 19:50:00,126.9300,126.9300,126.9300,126.9300,113
10,2023-01-05 19:48:00,126.9400,126.9400,126.9400,126.9400,530
11,2023-01-05 19:46:00,127.0000,127.0000,127.0000,127.0000,333
12,2023-01-05 19:45:00,126.9900,126.9900,126.9900,126.9900,294
13,2023-01-05 19:44:00,126.9800,126.9900,126.9800,126.9900,425
14,2023-01-05 19:40:00,127.0000,127.0600,126.9900,126.9900,1002
15,2023-01-05 19:38:00,127.0000,127.0000,126.9400,126.9400,2020
16,2023-01-05 19:37:00,127.0000,127.0000,127.0000,127.0000,100
17,2023-01-05 19:35:00,127.1000,127.1000,127.1000,127.1000,104
18,2023-01-05 19:20:00,127.0000,127.0000,127.0000,127.0000,288
19,2023-01-05 19:19:00,126.9600,126.9600,126.9400,126.9600,1551
20,2023-01-05 18:58:00,127.0000,127.0000,127.0000,127.0000,1414
21,2023-01-05 18:55:00,127.1500,127.1500,127.1500,127.1500,466
22,2023-01-05 18:52:00,127.0000,127.0000,127.0000,127.0000,301
23,2023-01-05 18:51:00,126.9600,127.0000,126.9600,127.0000,902
24,2023-01-05 18:46:00,126.9700,127.0000,126.9700,127.0000,1246
25,2023-01-05 18:31:00,126.9700,127.0000,126.9700,127.0000,1512
26,2023-01-05 18:23:00,126.8700,126.8700,126.7800,126.7800,1556
27,2023-01-05 18:17:00,126.8600,126.8600,126.8600,126.8600,150
28,2023-01-05 18:10:00,126.7700,126.7700,126.7700,126.7700,1023
29,2023-01-05 18:01:00,126.9800,127.0000,126.9800,127.0000,1444
30,2023-01-05 17:58:00,126.9200,126.9200,126.8000,126.8000,280
31,2023-01-05 17:57:00,126.7690,126.7690,126.7690,126.7690,184
32,2023-01-05 17:55:00,126.7500,126.7500,126.7500,126.7500,322
33,2023-01-05 17:54:00,126.7500,126.7500,126.7500,126.7500,110
34,2023-01-05 17:47:00,126.7600,126.7600,126.7500,126.7500,331
35,2023-01-05 17:46:00,126.8200,126.8200,126.8100,126.8100,1164
36,2023-01-05 17:43:00,126.8100,126.8100,126.8100,126.8100,546
37,2023-01-05 17:40:00,126.8200,126.8200,126.8200,126.8200,161
38,2023-01-05 17:37:00,126.8101,126.8101,126.8101,126.8101,410
39,2023-01-05 17:34:00,126.8200,126.8200,126.8200,126.8200,221
40,2023-01-05 17:31:00,126.8100,126.8100,126.8100,126.8100,201
41,2023-01-05 17:27:00,126.8200,126.8200,126.8100,126.8100,676
42,2023-01-05 17:25:00,126.8100,126.8100,126.8100,126.8100,118
43,2023-01-05 17:19:00,126.8000,126.8000,126.8000,126.8000,626
44,2023-01-05 17:18:00,126.7401,126.9400,126.7401,126.7401,59123
45,2023-01-05 17:17:00,126.7400,126.7400,126.7400,126.7400,496
46,2023-01-05 17:16:00,126.8200,126.8200,126.8200,126.8200,301
47,2023-01-05 17:14:00,126.8500,126.8500,126.8500,126.8500,301
48,2023-01-05 17:10:00,126.8301,126.8301,126.8301,126.8301,101
49,2023-01-05 17:08:00,126.8900,126.8900,126.8900,126.8900,573
50,2023-01-05 17:07:00,126.8900,126.8900,126.8900,126.8900,220
51,2023-01-05 17:06:00,126.9200,126.9200,126.9200,126.9200,103
52,2023-01-05 17:01:00,126.9071,126.9071,126.9071,126.9071,422
53,2023-01-05 17:00:00,127.0000,127.0300,127.0000,127.0300,1013
54,2023-01-05 16:55:00,127.0000,127.0000,126.9413,126.9413,1228
55,2023-01-05 16:54:00,126.9900,126.9900,126.9900,126.9900,201
56,2023-01-05 16:40:00,127.0000,127.0000,127.0000,127.0000,118
57,2023-01-05 16:30:00,126.9900,127.0900,126.9400,127.0900,1283
58,2023-01-05 16:27:00,126.9500,126.9500,126.9500,126.9500,1096
59,2023-01-05 16:26:00,126.9400,127.8400,126.9400,126.9400,457
