,date,time_interval,open,high,low,close,volume
1,2022-12-08,20:00:00,310.66,310.66,310.0,310.0,4728
2,2022-12-08,19:00:00,310.5,310.5,310.5,310.5,100
3,2022-12-08,18:00:00,311.1401,311.1401,310.66,310.75,1105
4,2022-12-08,17:00:00,310.26,311.5,310.26,310.4385,73325
5,2022-12-08,16:00:00,309.16,310.59,308.18,310.26,966051
6,2022-12-08,15:00:00,309.65,309.8698,307.64,309.09,601060
7,2022-12-08,14:00:00,308.19,311.3699,308.1,309.7,705695
8,2022-12-08,13:00:00,307.51,308.41,306.2301,308.28,510175
9,2022-12-08,12:00:00,309.34,309.7488,307.0,307.59,836030
10,2022-12-08,11:00:00,310.65,312.38,308.82,309.305,1427156
11,2022-12-08,10:00:00,311.75,311.75,304.8098,310.68,1689288
12,2022-12-08,09:00:00,311.23,312.5,309.5,311.34,45804
13,2022-12-08,08:00:00,309.75,311.1,309.75,311.1,10419
14,2022-12-08,07:00:00,309.6,309.6,309.5,309.5,345
15,2022-12-08,06:00:00,309.6,309.6,309.6,309.6,675
16,2022-12-08,05:00:00,309.0,309.8,309.0,309.5,2195
17,2022-12-07,20:00:00,308.18,308.18,307.25,307.25,2446
18,2022-12-07,19:00:00,308.19,308.24,308.0,308.16,1136
19,2022-12-07,18:00:00,308.39,308.39,307.47,307.5,16285
20,2022-12-07,17:00:00,308.42,308.43,307.86,307.88,159065
21,2022-12-07,16:00:00,306.62,308.73,306.37,308.46,936624
22,2022-12-07,15:00:00,306.44,307.9,305.47,306.6237,511454
23,2022-12-07,14:00:00,306.19,308.14,305.82,306.45,674397
24,2022-12-07,13:00:00,306.49,307.67,305.06,306.2628,701665
25,2022-12-07,12:00:00,306.27,307.25,302.88,306.53,1109437
26,2022-12-07,11:00:00,303.96,308.7299,302.2,306.1128,1931137
27,2022-12-07,10:00:00,303.85,309.61,302.1,304.07,1284155
28,2022-12-07,09:00:00,302.58,304.25,301.0,303.8,25615
29,2022-12-07,08:00:00,303.06,303.06,300.99,301.5,26375
30,2022-12-07,07:00:00,304.5,304.5,304.0,304.0,408
31,2022-12-07,06:00:00,304.3,304.3,304.2,304.2,942
32,2022-12-07,05:00:00,304.49,304.49,304.49,304.49,228
33,2022-12-06,20:00:00,305.83,306.0899,305.7999,305.7999,1461
34,2022-12-06,19:00:00,305.6,305.8,305.6,305.8,1476
35,2022-12-06,18:00:00,305.55,305.75,305.55,305.7401,881
36,2022-12-06,17:00:00,305.56,305.8346,305.41,305.5,110007
37,2022-12-06,16:00:00,304.97,306.1899,303.86,305.49,1167362
38,2022-12-06,15:00:00,305.12,306.58,303.76,304.9899,823124
39,2022-12-06,14:00:00,306.09,307.0,304.59,305.01,445113
40,2022-12-06,13:00:00,306.36,307.19,304.2097,306.005,571132
41,2022-12-06,12:00:00,305.14,307.8399,304.89,306.3,853231
42,2022-12-06,11:00:00,308.28,308.83,303.13,305.1744,1752533
43,2022-12-06,10:00:00,312.54,313.2231,307.7162,308.252,1115289
44,2022-12-06,09:00:00,313.25,313.25,311.23,312.39,12519
45,2022-12-06,08:00:00,313.0,313.44,313.0,313.15,2584
46,2022-12-06,06:00:00,312.57,312.57,312.57,312.57,130
47,2022-12-06,05:00:00,313.0,313.0,312.75,312.75,414
48,2022-12-05,20:00:00,312.68,313.0,312.6,313.0,6263
