,time,open,high,low,close,volume
1,2023-01-06 20:00:00,129.9900,130.0000,129.9900,130.0000,708
2,2023-01-06 19:58:00,129.9300,129.9300,129.9300,129.9300,308
3,2023-01-06 19:56:00,129.9500,129.9500,129.9500,129.9500,440
4,2023-01-06 19:53:00,129.9700,129.9700,129.9700,129.9700,463
5,2023-01-06 19:49:00,129.9900,129.9900,129.9900,129.9900,179
6,2023-01-06 19:48:00,129.9900,129.9900,129.9900,129.9900,508
7,2023-01-06 19:34:00,129.8700,129.8700,129.8700,129.8700,2046
8,2023-01-06 19:32:00,129.9000,129.9000,129.9000,129.9000,830
9,2023-01-06 19:29:00,129.8400,129.8400,129.8400,129.8400,102
10,2023-01-06 19:26:00,129.8900,129.8900,129.8900,129.8900,425
11,2023-01-06 19:22:00,129.8100,129.8100,129.8100,129.8100,312
12,2023-01-06 19:20:00,129.9000,129.9000,129.9000,129.9000,752
13,2023-01-06 19:14:00,129.9000,129.9000,129.9000,129.9000,1119
14,2023-01-06 19:13:00,129.9400,129.9400,129.9100,129.9100,1598
15,2023-01-06 18:55:00,129.9900,129.9900,129.9900,129.9900,161
16,2023-01-06 18:47:00,129.9300,129.9300,129.9300,129.9300,235
17,2023-01-06 18:44:00,129.9900,129.9900,129.9900,129.9900,361
18,2023-01-06 18:43:00,129.9900,129.9900,129.9900,129.9900,224
19,2023-01-06 18:42:00,129.9700,129.9700,129.9700,129.9700,459
20,2023-01-06 18:38:00,129.9199,129.9500,129.9199,129.9500,859
21,2023-01-06 18:37:00,129.9500,129.9500,129.9500,129.9500,123
22,2023-01-06 18:36:00,129.9200,129.9200,129.9200,129.9200,350
23,2023-01-06 18:35:00,129.9500,129.9500,129.9500,129.9500,774
24,2023-01-06 18:19:00,129.9700,129.9700,129.9600,129.9600,418
25,2023-01-06 18:06:00,129.9200,129.9200,129.9200,129.9200,201
26,2023-01-06 18:04:00,129.9600,129.9600,129.9600,129.9600,330
27,2023-01-06 18:02:00,129.9500,129.9500,129.9500,129.9500,356
28,2023-01-06 18:01:00,129.9500,129.9500,129.9500,129.9500,176
29,2023-01-06 17:57:00,129.9001,129.9001,129.9001,129.9001,103
30,2023-01-06 17:46:00,129.9700,129.9700,129.9700,129.9700,406
31,2023-01-06 17:45:00,129.9100,129.9700,129.9100,129.9700,276
32,2023-01-06 17:44:00,129.9100,129.9100,129.9100,129.9100,606
33,2023-01-06 17:37:00,129.9300,129.9300,129.9300,129.9300,480
34,2023-01-06 17:34:00,129.9200,129.9200,129.9200,129.9200,131
35,2023-01-06 17:27:00,129.9900,129.9900,129.9600,129.9900,1799
36,2023-01-06 17:19:00,129.9600,129.9600,129.9600,129.9600,158
37,2023-01-06 17:17:00,129.9500,129.9500,129.9500,129.9500,769
38,2023-01-06 17:15:00,129.9500,129.9500,129.9500,129.9500,118
39,2023-01-06 17:14:00,129.9600,129.9600,129.9600,129.9600,201
40,2023-01-06 17:13:00,129.9600,129.9600,129.9600,129.9600,245
41,2023-01-06 17:10:00,130.0000,130.0000,130.0000,130.0000,1533
42,2023-01-06 16:58:00,129.9900,129.9900,129.9900,129.9900,351
43,2023-01-06 16:57:00,129.9900,129.9900,129.9900,129.9900,354
44,2023-01-06 16:56:00,130.0100,130.0100,130.0099,130.0099,468
45,2023-01-06 16:55:00,129.9800,130.0300,129.9800,130.0300,730
46,2023-01-06 16:52:00,130.0000,130.0000,130.0000,130.0000,253
47,2023-01-06 16:50:00,129.9900,130.0000,129.9900,130.0000,681
48,2023-01-06 16:48:00,130.0000,130.0000,130.0000,130.0000,396
49,2023-01-06 16:47:00,130.0200,130.0300,130.0100,130.0300,4436
50,2023-01-06 16:46:00,129.9700,129.9700,129.9700,129.9700,343
51,2023-01-06 16:45:00,130.0100,130.0100,129.9800,129.9800,4106
52,2023-01-06 16:44:00,129.9900,130.0000,129.9900,130.0000,2070
53,2023-01-06 16:43:00,129.9900,129.9900,129.9900,129.9900,2546
54,2023-01-06 16:42:00,129.9800,129.9900,129.9800,129.9900,732
55,2023-01-06 16:41:00,129.9800,129.9900,129.9800,129.9800,819
56,2023-01-06 16:40:00,129.9800,129.9900,129.9700,129.9900,1905
57,2023-01-06 16:38:00,129.9800,129.9800,129.9800,129.9800,147
58,2023-01-06 16:36:00,129.9800,129.9800,129.9800,129.9800,131
59,2023-01-06 16:35:00,129.9800,129.9800,129.9800,129.9800,273
60,2023-01-06 16:34:00,129.9900,129.9900,129.9900,129.9900,3031
61,2023-01-06 16:33:00,129.9900,129.9900,129.9900,129.9900,2848
62,2023-01-06 16:31:00,129.9900,129.9900,129.9900,129.9900,192
63,2023-01-06 16:30:00,129.9806,129.9806,129.9806,129.9806,183
64,2023-01-06 16:29:00,129.9800,129.9800,129.9800,129.9800,667
65,2023-01-06 16:28:00,129.9700,129.9700,129.9700,129.9700,138
66,2023-01-06 16:26:00,130.0000,130.0000,130.0000,130.0000,312
67,2023-01-06 16:25:00,129.9600,129.9700,129.9500,129.9700,7565
68,2023-01-06 16:24:00,129.9900,129.9900,129.9600,129.9700,2527
69,2023-01-06 16:23:00,130.0000,130.0000,130.0000,130.0000,208
70,2023-01-06 16:22:00,130.0000,130.0000,130.0000,130.0000,471
71,2023-01-06 16:21:00,130.0100,130.0100,130.0100,130.0100,540
72,2023-01-06 16:19:00,130.1000,130.1100,130.0400,130.0400,1579
73,2023-01-06 16:16:00,129.9800,130.0200,129.9800,130.0000,3027
74,2023-01-06 16:15:00,129.9700,130.0000,129.9700,130.0000,1358
75,2023-01-06 16:12:00,129.9700,130.0200,129.9700,130.0200,15083
76,2023-01-06 16:11:00,130.0200,130.0200,130.0200,130.0200,4245
77,2023-01-06 16:10:00,129.9800,130.0200,129.9800,130.0200,5851
78,2023-01-06 16:08:00,130.0200,130.0200,129.9700,130.0000,13804
79,2023-01-06 16:07:00,129.9900,129.9900,129.9600,129.9700,1133
80,2023-01-06 16:06:00,129.9300,129.9700,129.9200,129.9700,5693
81,2023-01-06 16:05:00,129.9700,130.0000,129.9200,129.9200,669
82,2023-01-06 16:04:00,129.9600,129.9600,129.7900,129.8000,19592
83,2023-01-06 16:03:00,130.0000,130.0000,129.9600,130.0000,2796
84,2023-01-06 16:02:00,130.0200,130.0200,130.0000,130.0200,73150
85,2023-01-06 16:01:00,130.0200,130.0800,130.0000,130.0000,181196
86,2023-01-06 16:00:00,130.0350,130.1000,129.9700,130.0400,481289
87,2023-01-06 15:59:00,130.0000,130.0400,129.9500,130.0350,218122
88,2023-01-06 15:58:00,130.0300,130.1100,129.9436,129.9950,195823
89,2023-01-06 15:57:00,130.0600,130.1000,129.9900,130.0200,115087
90,2023-01-06 15:56:00,129.9600,130.1400,129.9000,130.0500,177245
91,2023-01-06 15:55:00,129.9750,130.0700,129.8700,129.9600,191323
92,2023-01-06 15:54:00,130.0000,130.0400,129.9300,129.9800,132119
93,2023-01-06 15:53:00,130.0200,130.0700,129.9950,130.0000,84367
94,2023-01-06 15:52:00,130.0500,130.1100,129.9700,130.0000,114628
95,2023-01-06 15:51:00,130.1500,130.1800,129.9600,130.0500,207483
96,2023-01-06 15:50:00,130.1550,130.2350,130.1500,130.1500,113397
97,2023-01-06 15:49:00,130.2123,130.2150,130.1300,130.1500,87438
98,2023-01-06 15:48:00,130.3200,130.3200,130.2100,130.2150,70672
99,2023-01-06 15:47:00,130.2400,130.3300,130.2050,130.3200,87317
100,2023-01-06 15:46:00,130.2000,130.2450,130.1550,130.2322,66540
